days,lengths,weights,temperature,F_T,dissolved_oxygen,F_Od,ph,F_Ph,total_ammonia,F_Am,nitrite,F_Nitri,nitrate,F_Nitra,FactorCrecimiento
0,1.546699563923096,0.0279911231794412,16.171032800970256,1.0,8.628274600727693,1.0,7.070740496434097,1.0,0.2270375631572502,0.9675549242112996,0.160689550060641,0.8937932873938783,104.05563447358756,1.0,0.8647940964449523
1,1.5651451953358404,0.0288868336004394,16.173574817753913,1.0,8.630181113315434,1.0,7.097763341018414,1.0,0.2145921957519674,0.9824893650976392,0.1608484261096194,0.893515254308166,102.21637073264444,1.0,0.8778692349102857
2,1.5838024070440753,0.0298112051243698,16.536028526287645,1.0,8.902021394715733,1.0,7.168685381234931,1.0,0.2665566233907783,0.920132051931066,0.1835017828929778,0.8538718799372889,110.03856808721316,1.0,0.7856748849729344
3,1.6026734246884315,0.030765154759816,16.691918975238682,1.0,9.01893923142901,1.0,7.196403654827994,1.0,0.2996524946520287,0.8804170064175656,0.1932449359524176,0.8368213620832692,115.0304656653615,1.0,0.7367517585116216
4,1.6217604924944171,0.0317496288487952,16.164117230002436,1.0,8.623087922501826,1.0,7.116042209608973,1.0,0.2117286555057767,0.985925613393068,0.1602573268751521,0.8945496779684837,101.86938220875022,1.0,0.8819594399616487
5,1.6410658733082149,0.0327656040046818,16.175357105377138,1.0,8.631517829032854,1.0,7.121321069179969,1.0,0.2128529713987302,0.9845764343215236,0.1609598190860711,0.8933203165993755,102.06548938778948,1.0,0.8795421320243877
6,1.6605918486290594,0.0338140880800943,16.738344680643703,1.0,9.053758510482776,1.0,7.200394571373362,0.9997369524177588,0.305418724374518,0.8734975307505783,0.1961465425402314,0.8317435505545951,115.9777713720936,1.0,0.7263348267358294
7,1.6803407186381136,0.0348961211657015,16.52892157757565,1.0,8.896691183181739,1.0,7.167929165871799,1.0,0.2682408523406233,0.918110977191252,0.1830575985984782,0.8546492024526632,110.42846072293248,1.0,0.7846628144195388
8,1.7003148022237249,0.0360127766209344,16.074209200173794,1.0,8.555656900130346,1.0,7.055736613732986,1.0,0.1980314322986803,1.0,0.1546380750108621,0.9043833687309912,99.92436088018329,1.0,0.9043833687309912
9,1.7205164370029482,0.0371651621376196,16.030445601684903,1.0,8.522834201263677,1.0,7.018184829772951,1.0,0.2138957610402096,0.9833250867517483,0.1519028501053064,0.9091700123157136,102.33125826909428,1.0,0.8940096812324372
